"subjects"	"S"	"prime"	"R"	"rt"
"1"	"male"	"moustache"	"male"	0.307302737056212
"1"	"female"	"moustache"	"female"	0.382192517897273
"1"	"male"	"moustache"	"female"	0.505548281813977
"1"	"male"	"nose"	"female"	0.276294359851293
"1"	"female"	"moustache"	"male"	0.319484394936305
"1"	"female"	"moustache"	"male"	0.326530380026542
"1"	"male"	"nose"	"male"	0.277075958006184
"1"	"female"	"moustache"	"female"	0.586081785580749
"1"	"female"	"nose"	"female"	0.332267857188449
"1"	"male"	"nose"	"male"	0.477495237600569
"1"	"female"	"nose"	"female"	0.60794570541362
"1"	"male"	"moustache"	"male"	0.31131558776628
"1"	"male"	"nose"	"male"	0.423017818813555
"1"	"female"	"moustache"	"male"	0.38143956579663
"1"	"male"	"moustache"	"female"	0.364615037430398
"1"	"female"	"nose"	"female"	0.357016478535125
"1"	"female"	"moustache"	"female"	0.283754406782413
"1"	"male"	"moustache"	"male"	0.487089317454282
"1"	"female"	"nose"	"female"	0.418341068558855
"1"	"male"	"moustache"	"male"	0.376224807375361
"1"	"male"	"moustache"	"male"	0.248190939321126
"1"	"male"	"moustache"	"female"	0.503609433042137
"1"	"male"	"moustache"	"male"	0.318166075797477
"1"	"male"	"moustache"	"male"	0.328851370126859
"1"	"female"	"moustache"	"male"	0.335985167657018
"1"	"female"	"moustache"	"male"	0.36456931974563
"1"	"male"	"nose"	"male"	0.689380743399729
"1"	"male"	"nose"	"female"	0.453919900545669
"1"	"male"	"moustache"	"female"	0.2752058158787
"1"	"female"	"nose"	"female"	0.28433742948124
"1"	"female"	"nose"	"female"	0.617993224123008
"1"	"female"	"nose"	"male"	0.832256094744771
"1"	"female"	"moustache"	"female"	0.352233989831246
"1"	"female"	"moustache"	"female"	0.330467532874007
"1"	"female"	"moustache"	"female"	0.241886517471858
"1"	"male"	"moustache"	"male"	0.244459404066033
"1"	"male"	"nose"	"male"	0.236120634997277
"1"	"male"	"nose"	"male"	0.284391947801058
"1"	"female"	"moustache"	"female"	0.431798497507112
"1"	"female"	"moustache"	"female"	0.532847012802874
"1"	"male"	"nose"	"male"	0.280811998729683
"1"	"female"	"nose"	"male"	0.466532792535696
"1"	"female"	"moustache"	"female"	0.689221481050789
"1"	"male"	"nose"	"female"	0.637185666245191
"1"	"male"	"nose"	"male"	0.313276547350192
"1"	"female"	"moustache"	"female"	0.386655583448425
"1"	"female"	"nose"	"female"	0.33128307173145
"1"	"male"	"moustache"	"male"	0.728437684096792
"1"	"female"	"nose"	"male"	0.280336957837372
"1"	"male"	"nose"	"male"	0.256485475618608
"1"	"female"	"nose"	"female"	0.252572963982495
"1"	"female"	"nose"	"female"	0.408255103006036
"1"	"female"	"nose"	"female"	0.251850712008382
"1"	"male"	"moustache"	"male"	0.247181244651705
"1"	"male"	"moustache"	"male"	0.294680715596695
"1"	"male"	"nose"	"female"	0.365528325255358
"1"	"female"	"moustache"	"female"	0.256089943551446
"1"	"female"	"moustache"	"female"	0.424076060855839
"1"	"male"	"moustache"	"male"	0.346907760935764
"1"	"male"	"moustache"	"male"	0.491408215275277
"1"	"female"	"moustache"	"male"	0.298480402861433
"1"	"male"	"moustache"	"female"	0.415053481601188
"1"	"male"	"nose"	"male"	0.36985458507316
"1"	"female"	"nose"	"female"	0.308864909820295
"1"	"female"	"moustache"	"female"	0.576938075949466
"1"	"female"	"nose"	"female"	0.23862105508237
"1"	"male"	"moustache"	"female"	0.259289685062764
"1"	"male"	"nose"	"male"	0.308156908980877
"1"	"male"	"moustache"	"male"	0.496544723001514
"1"	"female"	"moustache"	"female"	0.36796337671143
"1"	"female"	"moustache"	"male"	0.256877427776688
"1"	"male"	"moustache"	"male"	0.493602730584797
"1"	"male"	"nose"	"female"	0.58389713858307
"1"	"female"	"nose"	"male"	0.324313975065043
"1"	"female"	"nose"	"male"	0.246992807503323
"1"	"male"	"moustache"	"male"	0.36553268881798
"1"	"male"	"moustache"	"male"	0.256116893289137
"1"	"male"	"nose"	"male"	0.337169591503045
"1"	"male"	"moustache"	"female"	0.264172883678386
"1"	"female"	"moustache"	"male"	0.338887353372088
"1"	"male"	"nose"	"male"	0.453943573454447
"1"	"female"	"moustache"	"female"	0.560826868733696
"1"	"female"	"moustache"	"male"	0.353795931364909
"1"	"male"	"moustache"	"male"	0.261613903427084
"1"	"female"	"nose"	"female"	0.299884948313219
"1"	"male"	"nose"	"male"	0.256011523767943
"1"	"female"	"nose"	"female"	0.408731399484737
"1"	"male"	"moustache"	"female"	0.290813347019119
"1"	"male"	"nose"	"male"	0.621399129939898
"1"	"female"	"nose"	"female"	0.39312992800482
"1"	"female"	"moustache"	"male"	0.358976817696088
"1"	"female"	"nose"	"female"	0.665554113075547
"1"	"male"	"nose"	"male"	0.29847179245828
